Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEZ DIB DCM224 r3B4.brd" as of: 19.7.2021. 16:04
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,5.315,0.540,0
C2,Top,5.585,1.452,0
C3,Top,5.780,1.452,0
C4,Top,5.633,2.700,90
C5,Top,5.463,2.700,270
C6,Top,5.500,1.880,180
C7,Top,3.075,0.690,180
C8,Top,3.105,0.907,270
C9,Top,5.500,1.788,180
C10,Top,5.570,1.970,0
C11,Top,5.478,2.235,180
C12,Top,5.335,2.175,270
C13,Top,5.293,2.700,270
C14,Top,5.820,1.845,270
C15,Top,5.723,2.272,0
C16,Top,3.615,0.657,270
C17,Top,3.615,0.907,270
C18,Top,5.723,2.350,0
C19,Top,3.705,0.385,0
C20,Top,5.598,2.975,0
C21,Top,5.268,2.955,90
C22,Top,5.577,2.890,180
C23,Top,3.985,1.925,180
C24,Top,4.112,1.925,0
C25,Top,3.853,2.095,180
C26,Top,5.020,1.843,180
C27,Top,5.000,1.923,0
C28,Top,3.973,2.268,180
C29,Top,4.100,2.268,0
C30,Top,4.803,2.090,180
C31,Top,4.675,2.090,0
C32,Top,4.492,2.135,0
C33,Top,4.037,1.762,90
C34,Top,4.662,1.995,180
C35,Top,4.508,1.522,180
C36,Top,4.508,1.450,180
C37,Top,4.580,1.373,0
C38,Top,4.473,1.823,270
C39,Top,4.350,1.812,0
C40,Top,4.350,1.657,0
C41,Top,4.350,1.502,0
C42,Top,4.350,1.347,0
C43,Top,3.723,2.708,180
C44,Top,2.897,2.942,0
C45,Top,4.780,2.830,0
C46,Top,3.920,2.870,0
C47,Top,2.627,3.210,0
C48,Top,2.567,2.980,180
C49,Top,4.010,2.408,180
C50,Top,2.567,2.853,180
C51,Top,2.590,3.533,90
C52,Top,2.083,3.127,180
C53,Top,2.625,3.100,0
C54,Top,0.555,2.740,0
C55,Top,0.615,2.615,270
C56,Top,2.475,2.430,180
C57,Top,1.972,2.810,0
C58,Top,1.972,2.935,0
C59,Top,1.755,3.525,270
C60,Top,1.615,3.125,0
C61,Top,0.555,2.493,0
C62,Top,2.125,3.575,90
C63,Top,2.132,3.402,90
C64,Top,2.280,3.575,270
C65,Top,2.357,3.575,270
C66,Top,2.897,1.423,0
C67,Top,3.672,2.498,90
C68,Top,2.627,1.690,0
C69,Top,2.567,1.460,180
C70,Top,2.567,1.333,180
C71,Top,2.590,2.013,90
C72,Top,2.085,1.605,180
C73,Top,2.625,1.580,0
C74,Top,0.555,1.248,0
C75,Top,0.615,1.123,270
C76,Top,2.475,0.910,180
C77,Top,1.972,1.290,0
C78,Top,1.972,1.415,0
C79,Top,1.755,2.005,270
C80,Top,1.615,1.605,0
C81,Top,0.555,0.998,0
C82,Top,2.125,2.055,90
C83,Top,2.132,1.883,90
C84,Top,2.280,2.055,270
C85,Top,2.357,2.055,270
D1,Top,5.725,2.603,90
D2,Top,5.595,2.167,270
D3,Top,3.050,3.368,270
D4,Top,3.130,3.368,270
D5,Top,2.053,3.045,180
D6,Top,3.045,1.815,270
D7,Top,3.125,1.815,270
D8,Top,2.053,1.525,180
DIB1.1,Top,2.703,0.677,180
FB1,Top,4.463,1.320,90
FM1,Top,0.591,3.642,0
FM2,Top,6.004,0.098,0
FM3,Top,0.098,0.453,0
IC1,Top,3.348,0.795,90
IC2,Top,5.702,2.067,90
IC3,Top,3.857,0.795,90
IC4,Top,3.917,0.463,180
IC5,Top,5.407,2.928,0
IC6,Top,3.993,2.095,180
IC7,Top,4.737,1.705,270
IC8,Top,4.580,1.265,180
IC9,Top,3.900,2.603,90
IC10,Top,2.350,3.270,180
IC11,Top,4.522,2.830,180
IC12,Top,2.350,1.750,180
I_SET1,Top,4.245,2.630,270
I_SET2,Top,4.242,2.510,270
JP1,Top,5.008,1.315,0
JP2,Top,2.938,3.272,90
JP3,Bottom,2.103,3.272,270
JP4,Top,2.940,1.752,90
JP5,Bottom,2.103,1.758,270
L2,Top,1.782,2.478,180
L3,Top,1.475,3.515,90
L4,Top,1.782,0.958,180
L5,Top,1.475,1.995,90
NTC1,Top,3.200,2.627,270
NTC2,Top,3.200,1.107,90
OE#1,Top,4.975,2.155,180
OE#2,Top,5.027,2.045,0
Q1,Top,3.357,3.380,270
Q2,Top,2.685,2.627,270
Q3,Top,2.265,2.675,180
Q4,Top,1.073,2.683,90
Q5,Top,1.135,2.420,0
Q6,Top,1.135,2.285,0
Q7,Top,3.357,1.855,270
Q8,Top,2.685,1.107,270
Q9,Top,2.265,1.155,180
Q10,Top,1.073,1.190,90
Q11,Top,1.195,0.860,0
Q12,Top,1.195,0.728,0
R1,Top,5.253,0.405,0
R2,Top,5.548,2.720,270
R3,Top,5.665,1.845,90
R4,Top,5.378,2.720,270
R5,Top,5.438,2.118,90
R6,Top,5.742,1.845,90
R7,Top,5.840,2.465,90
R8,Top,5.820,2.000,270
R9,Top,5.840,2.310,270
R10,Top,5.820,2.155,90
R11,Top,4.145,0.900,270
R12,Top,4.178,0.560,180
R13,Top,4.178,0.482,180
R14,Top,4.178,0.405,180
R15,Top,4.070,2.005,180
R16,Top,5.035,1.768,180
R17,Top,3.915,2.005,180
R18,Top,4.058,2.188,180
R19,Top,3.902,2.188,180
R20,Top,5.008,1.395,0
R21,Top,4.492,2.058,180
R22,Top,4.115,1.762,270
R23,Top,4.697,1.333,90
R24,Top,4.350,1.890,180
R25,Top,4.350,1.735,180
R26,Top,4.350,1.580,180
R27,Top,4.350,1.425,180
R28,Top,3.538,3.180,0
R29,Top,3.382,3.180,180
R30,Top,4.075,2.792,180
R31,Top,3.920,2.792,180
R32,Top,4.157,2.675,90
R33,Top,4.080,2.675,90
R34,Top,1.665,2.830,0
R35,Top,2.300,2.430,0
R36,Top,2.203,3.575,270
R37,Top,2.667,3.533,90
R38,Top,1.970,3.575,270
R39,Top,2.018,3.362,180
R40,Top,2.085,3.285,0
R41,Top,2.635,3.322,0
R42,Top,2.018,3.440,180
R43,Top,2.435,3.575,90
R44,Top,2.635,3.400,180
R45,Top,2.047,3.575,90
R46,Top,2.745,3.533,270
R47,Top,1.270,2.430,270
R48,Top,1.005,2.255,90
R49,Top,4.765,2.980,0
R50,Top,4.765,2.902,180
R51,Top,3.420,1.613,90
R52,Top,3.342,1.613,90
R53,Top,3.595,2.498,90
R54,Top,3.750,2.498,270
R55,Top,4.157,2.520,270
R56,Top,4.080,2.520,270
R57,Top,1.665,1.310,0
R58,Top,2.300,0.910,0
R59,Top,2.203,2.055,270
R60,Top,2.667,2.013,90
R61,Top,1.970,2.055,270
R62,Top,2.018,1.843,180
R63,Top,2.085,1.765,0
R64,Top,2.632,1.802,0
R65,Top,2.018,1.920,180
R66,Top,2.435,2.055,90
R67,Top,2.632,1.880,180
R68,Top,2.047,2.055,90
R69,Top,2.745,2.013,270
R70,Top,1.242,0.975,0
R71,Top,1.028,0.765,0
R72,Top,4.765,2.678,0
R73,Top,4.765,2.755,180
R74,Top,1.173,3.098,180
R75,Top,1.173,1.603,180
RN1,Top,4.835,1.357,0
RN2,Top,5.075,1.525,270
SH1,Top,1.190,0.392,90
SH2,Bottom,1.195,0.492,270
TR1,Top,5.438,2.438,270
U_SET1,Top,2.837,3.610,0
U_SET2,Top,2.825,2.090,90
Y1,Top,4.725,2.305,270
ZD1,Top,5.625,1.585,180
ZD2,Top,3.072,3.513,180
ZD3,Top,0.970,2.995,270
ZD4,Top,3.067,1.960,180
